Nama_Obat,Zat_Aktif
NOVADEX,DEXAMETHASONE
NOVACYCLINE,TETRACYCLINE HYDROCHLORIDE
NOVAGYL,METRONIDAZOLE
NOVAMOX,AMOXICILLIN TRIHYDRATE
REMACORT,PREDNISONE
NOVAMAG,DRIED ALUMINIUM HYDROXIDE GEL
NOVAMAG,MAGNESIUM HYDROXIDE
NOVAMAG,SIMETHICONE
ZENTRIS,CETIRIZINE HYDROCHLORIDE
NOVAFLOX 500,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE
NOVADIAR,KAOLIN
NOVADIAR,PECTIN
NOVAXICAM,PIROXICAM
PARAFEN,IBUPROFEN
PARAFEN,PARACETAMOL
PAPAVERINE HYDROCHLORIDE,PAPAVERINE HYDROCHLORIDE
NOVADIUM,LOPERAMIDE HYDROCHLORIDE
NOVACYCLINE 500,TETRACYCLINE HYDROCHLORIDE
CEFFORD,CEFADROXIL MONOHYDRATE
CLARIXIN,LORATADINE
TRIFASON,DEXAMETHASONE
TRIFAMAG,MAGNESIUM HYDROXIDE
TRIFAMAG,DRIED ALUMINIUM HYDROXIDE GEL
TRIFACORT,PREDNISONE
TRIFAMOL,PARACETAMOL
TRIFADIUM,LOPERAMIDE HYDROCHLORIDE
TRIFASTAN,MEFENAMIC ACID
TRIFAMYCETIN,CHLORAMPHENICOL
TRIFALGIN,METAMIZOLE SODIUM MONOHYDRATE
TRIVASK 10,AMLODIPINE BESILATE
DERMAMOME,MOMETASONE FUROATE
ESCLOB,CLOBETASOL PROPIONATE
CORTAFLUCI,FLUOCINOLONE ACETONIDE
MELAQIDERM,HYDROQUINONE
"ESTERA 0,25 MG/G",TRETINOIN
ESTERA 1 MG/G,TRETINOIN
"ESTERA 0,5 MG/G",TRETINOIN
ESTEKLIN,TRETINOIN
ESTEKLIN,CLINDAMYCIN PHOSPHATE
PACETIK,PARACETAMOL
LOPURIC-100,ALLOPURINOL
"FLACOID-0,5",DEXAMETHASONE
YATRIZOL-F,METRONIDAZOLE
PACETIK-500,PARACETAMOL
YEKAPONS,MEFENAMIC ACID
KATITRA,TETRACYCLINE HYDROCHLORIDE
YEKADINE,POVIDONE-IODINE
YEKAPRIM,SULFAMETHOXAZOLE
YEKAPRIM,TRIMETHOPRIM
YEKARADIN - 150,RANITIDINE HYDROCHLORIDE
"FLACOID 0,75",DEXAMETHASONE
YEKAZONE,DEXAMETHASONE
YEKAZONE,DEXCHLORPHENIRAMINE MALEATE
YEFAMOX,AMOXICILLIN TRIHYDRATE
YEKADRYL EXTRA,DIPHENHYDRAMINE HYDROCHLORIDE
YEKADRYL EXTRA,AMMONIUM CHLORIDE
YEKADRYL EXTRA,DEXTROMETHORPHAN HYDROBROMIDE
KATERGI,MEBHYDROLIN NAPADISILATE
YEKAGRIP,PARACETAMOL
YEKAGRIP,CHLORPHENAMINE MALEATE
YEKAGRIP,PHENYLPROPANOLAMINE HYDROCHLORIDE
YEKAGRIP,GUAIFENESIN
YEKADRYL EXPECTORANT,AMMONIUM CHLORIDE
YEKADRYL EXPECTORANT,DIPHENHYDRAMINE HYDROCHLORIDE
YEKANEURON,PYRIDOXINE HYDROCHLORIDE
YEKANEURON,CYANOCOBALAMIN
YEKANEURON,THIAMINE HYDROCHLORIDE
PACETIK BP,PARACETAMOL
PACETIK BP,GUAIFENESIN
PACETIK BP,CHLORPHENAMINE MALEATE
ANACOF,METAMIZOLE SODIUM
YEKAPRIM FORTE,SULFAMETHOXAZOLE
YEKAPRIM FORTE,TRIMETHOPRIM
TRACODIA,LOPERAMIDE HYDROCHLORIDE
INCLUDIN LAKTASI,LYNESTRENOL
PLANOTAB,ETHINYLESTRADIOL
PLANOTAB,LEVONORGESTREL
OBAT SUNTIK KB II,MEDROXYPROGESTERONE ACETATE
OBAT SUNTIK KB II,ESTRADIOL CIPIONATE
ANDALAN POSTPIL,LEVONORGESTREL
TRANAFLU,CHLORPHENAMINE MALEATE
TRANAFLU,PHENYLPROPANOLAMINE HYDROCHLORIDE
TRANAFLU,PARACETAMOL
TRANABAT,DEXTROMETHORPHAN HYDROBROMIDE
TRANABAT,PHENYLPROPANOLAMINE HYDROCHLORIDE
TRANABAT,CHLORPHENAMINE MALEATE
MONOPLANT,LEVONORGESTREL
OBAPA,PARACETAMOL
DEPONEO,MEDROXYPROGESTERONE ACETATE
VALENOR 2,LEVONORGESTREL
SUSUK KB I TIGA TAHUNAN,LEVONORGESTREL
CYNTOCIN,OXYTOCIN SOLUTION
GUNAPECT,AMBROXOL HYDROCHLORIDE
AKNIL,IBUPROFEN
AKNIL,PARACETAMOL
CALMLET,ALPRAZOLAM
SIMECO,SIMETHICONE
SIMECO,MAGNESIUM HYDROXIDE
SIMECO,ALUMINIUM HYDROXIDE-MAGNESIUM CARBONATE GEL
EUFORISS,CLONAZEPAM
GUNACOLD,CHLORPHENAMINE MALEATE
GUNACOLD,PHENYLPROPANOLAMINE HYDROCHLORIDE
GUNACOLD,PARACETAMOL
CYCOZAM 100,CLOZAPINE
CYCOZAM 25,CLOZAPINE
OBSTANON,ALLYLESTRENOL
VISTAT,KOMBINASI-ORLISTAT 50 PELLETS
GUNACETA,PARACETAMOL
FEBRYN,IBUPROFEN
TRINORDIOL - 28,ETHINYLESTRADIOL
TRINORDIOL - 28,LEVONORGESTREL
CYCLO PROTHYRA,MEDROXYPROGESTERONE ACETATE
CYCLO PROTHYRA,ESTRADIOL CYPIONATE
PONTYAMER B6,PYRATHIAZINE THEOCLATE
PONTYAMER B6,PYRIDOXINE HYDROCHLORIDE
APISATE,AMFEPRAMONE HYDROCHLORIDE
ATIVAN,LORAZEPAM
PABAL,CARBETOCIN
CORTIMENT,BUDESONIDE
CERVIDIL,DINOPROSTONE
PENTASA,MESALAZINE
MINIRIN MELT,DESMOPRESSIN ACETATE
MINIRIN,DESMOPRESSIN ACETATE
REKOVELLE,FOLLITROPIN DELTA
DUPHALAC,LACTULOSE
DUPHALAC,LACTULOSE SOLUTION
ALUVIA,RITONAVIR
ALUVIA,LOPINAVIR
DEPAKOTE,DIVALPROEX SODIUM
DUPHASTON,DYDROGESTERONE
PEDIALYTE (AROMA BUBBLE GUM),DEXTROSE MONOHYDRATE
PEDIALYTE (AROMA BUBBLE GUM),POTASSIUM CITRATE MONOHYDRATE
PEDIALYTE (AROMA BUBBLE GUM),SODIUM CHLORIDE
PEDIALYTE (AROMA BUBBLE GUM),SODIUM CITRATE DIHYDRATE
PEDIALYTE,DEXTROSE MONOHYDRATE
PEDIALYTE,SODIUM CHLORIDE
PEDIALYTE,SODIUM CITRATE DIHYDRATE
PEDIALYTE,POTASSIUM CITRATE MONOHYDRATE
HIDRASEC,RACECADOTRIL
LIPANTHYL PENTA,FENOFIBRATE
LUVOX,FLUVOXAMINE MALEATE
GLYPRESSIN,TERLIPRESSIN
TRACTOCILE,ATOSIBAN
HUMIRA,ADALIMUMAB
SEVORANE,SEVOFLURANE
SURVANTA,BOVINE LUNG LIPIDS
INFLUVAC NH,"B/WASHINGTON/02/2019-LIKE VIRUS (B/WASHINGTON/02/2019, WILD TYPE)"
INFLUVAC NH,"A/GUANGDONG-MAONAN/SWL1536/2019 (H1N1)PDM09-LIKE VIRUS (A/GUANGDONG-MAONAN/SWL1536/2019, CNIC-1909)"
INFLUVAC NH,"A/HONG KONG/2671/2019 (H3N2)-LIKE VIRUS (A/HONG KONG/2671/2019, IVR-208)"
INFLUVAC SH,"A/VICTORIA/2570/2019 (H1N1) PDM09 - LIKE VIRUS (A/VICTORIA/2570/2019, IVR-215)"
INFLUVAC SH,"A/DARWIN/9/2021 (H3N2) - LIKE VIRUS (A/DARWIN/6/2021, IVR-227)"
INFLUVAC SH,"B/AUSTRIA/1359417/2021- LIKE VIRUS (B/AUSTRIA/1359417/2021, BVR-26)"
BRUFEN,IBUPROFEN
BETASERC,BETAHISTINE DIHYDROCHLORIDE
IBERET FOLIC 500,NICOTINAMIDE
IBERET FOLIC 500,RIBOFLAVIN
IBERET FOLIC 500,ASCORBIC ACID
IBERET FOLIC 500,FOLIC ACID
IBERET FOLIC 500,THIAMINE MONONITRATE
IBERET FOLIC 500,PYRIDOXINE HYDROCHLORIDE
IBERET FOLIC 500,CALCIUM PANTOTHENATE
IBERET FOLIC 500,FERROUS SULFATE
IBERET FOLIC 500,CYANOCOBALAMIN
ABBOTIC XL,CLARITHROMYCIN
DUSPATALIN,MEBEVERINE HYDROCHLORIDE
DEPAKOTE ER,DIVALPROEX SODIUM
LIPANTHYL SUPRA,FENOFIBRATE
INFLUVAC NH,"A/VICTORIA/4897/2022(H1N1)PDM09 - LIKE VIRUS (A/VICTORIA/4897/2022, IVR-238)"
INFLUVAC NH,"A/DARWIN/9/2021(H3N2)-LIKE VIRUS (A/DARWIN/9/2021, SAN-010)"
INFLUVAC NH,"B/AUSTRIA/1359417/2021- LIKE VIRUS (B/AUSTRIA/1359417/2021, BVR-26)"
ABBOTIC,CLARITHROMYCIN
ZANIDIP,LERCANIDIPINE HYDROCHLORIDE
RYTMONORM,PROPAFENONE HYDROCHLORIDE
INFLUVAC SH,"A/VICTORIA/4897/2022(H1N1)PDM09 - LIKE VIRUS (A/VICTORIA/4897/2022, IVR-238)"
INFLUVAC SH,"A/THAILAND/8/2022 (H3N2) - LIKE VIRUS (A/THAILAND/8/2022, IVR-237)"
INFLUVAC TETRA SH,"A/VICTORIA/4897/2022(H1N1)PDM09 - LIKE VIRUS (A/VICTORIA/4897/2022, IVR-238)"
INFLUVAC TETRA SH,"A/THAILAND/8/2022 (H3N2) - LIKE VIRUS (A/THAILAND/8/2022, IVR-237)"
INFLUVAC TETRA SH,"B/AUSTRIA/1359417/2021- LIKE VIRUS (B/AUSTRIA/1359417/2021, BVR-26)"
INFLUVAC TETRA SH,"B/PHUKET/3073/2013-LIKE VIRUS (B/PHUKET/3073/2013, WILD TYPE)"
INFLUVAC TETRA NH,"A/VICTORIA/4897/2022(H1N1)PDM09 - LIKE VIRUS (A/VICTORIA/4897/2022, IVR-238)"
INFLUVAC TETRA NH,"A/DARWIN/9/2021(H3N2)-LIKE VIRUS (A/DARWIN/9/2021, SAN-010)"
INFLUVAC TETRA NH,"B/AUSTRIA/1359417/2021- LIKE VIRUS (B/AUSTRIA/1359417/2021, BVR-26)"
INFLUVAC TETRA NH,"B/PHUKET/3073/2013-LIKE VIRUS (B/PHUKET/3073/2013, WILD TYPE)"
ABBOTIC 500,CLARITHROMYCIN
TRILIPIX,CHOLINE FENOFIBRATE
ISOPTIN,VERAPAMIL HYDROCHLORIDE
ISOPTIN SR,VERAPAMIL HYDROCHLORIDE
DEPAKENE,VALPROIC ACID
INFLUVAC TETRA NH,"A/THAILAND/8/2022(H3N2) - LIKE VIRUS (A/CALIFORNIA/122/2022, SAN-022)"
INFLUVAC NH,"A/THAILAND/8/2022(H3N2) - LIKE VIRUS (A/CALIFORNIA/122/2022, SAN-022)"
CALIBERI,TADALAFIL
INFLUVAC TETRA SH,A/CROATIA/10136RV/2023 (H3N2) - LIKE VIRUS
INFLUVAC TETRA SH,"(A/CROATIA/10136RV/2023, X-425A)"
INFLUVAC SH,A/CROATIA/10136RV/2023 (H3N2) - LIKE VIRUS
INFLUVAC SH,"(A/CROATIA/10136RV/2023, X-425A)"
WIDA KDN-1,POTASSIUM CHLORIDE
WIDA KDN-1,DEXTROSE MONOHYDRATE
WIDA KDN-1,SODIUM CHLORIDE
WIDA RL,POTASSIUM CHLORIDE
WIDA RL,CALCIUM CHLORIDE DIHYDRATE
WIDA RL,SODIUM LACTATE
WIDA RL,SODIUM CHLORIDE
WIDA NS,SODIUM CHLORIDE
WIDA 2A,DEXTROSE MONOHYDRATE
WIDA 2A,SODIUM CHLORIDE
WIDA D5-1/2NS,DEXTROSE MONOHYDRATE
WIDA D5-1/2NS,SODIUM CHLORIDE
WIDA D10,DEXTROSE MONOHYDRATE
WIDA RS,SODIUM CHLORIDE
WIDA RS,POTASSIUM CHLORIDE
WIDA RS,CALCIUM CHLORIDE DIHYDRATE
"SODIUM CHLORIDE 0,9 %",SODIUM CHLORIDE
DEXTROSE,DEXTROSE MONOHYDRATE
WIDA BES,SODIUM CHLORIDE
WIDA BES,POTASSIUM CHLORIDE
WIDA BES,MAGNESIUM CHLORIDE HEXAHYDRATE
WIDA BES,SODIUM ACETATE TRIHYDRATE
WIDA BES,MALIC ACID
WIDA BES,CALCIUM CHLORIDE DIHYDRATE
WIDAHES BES,HYDROXYETHYL STARCH
WIDAHES BES,SODIUM CHLORIDE
WIDAHES BES,CALCIUM CHLORIDE DIHYDRATE
WIDAHES BES,MAGNESIUM CHLORIDE HEXAHYDRATE
WIDAHES BES,SODIUM ACETATE TRIHYDRATE
WIDAHES BES,MALIC ACID
WIDAHES BES,POTASSIUM CHLORIDE
WIDA WI (STERILE WATER FOR IRRIGATION),WATER FOR INJECTION
WIDA WI UNICAP (STERILE WATER FOR IRRIGATION),WATER FOR INJECTION
WIDA NSI,SODIUM CHLORIDE
WIDAHES 130,HYDROXYETHYL STARCH
WIDAHES 130,SODIUM CHLORIDE
LEUNASE,ASPARAGINASE
WIDA KN-2,SODIUM CHLORIDE
WIDA KN-2,POTASSIUM CHLORIDE
WIDA RD,DEXTROSE MONOHYDRATE
WIDA RD,POTASSIUM CHLORIDE
WIDA RD,CALCIUM CHLORIDE DIHYDRATE
WIDA RD,SODIUM CHLORIDE
WIDA D5 1/4 NS,DEXTROSE MONOHYDRATE
WIDA D5 1/4 NS,SODIUM CHLORIDE
WIDA KN-1,SODIUM CHLORIDE
WIDA KN-1,POTASSIUM CHLORIDE
WIDA D5-NS,DEXTROSE MONOHYDRATE
WIDA D5-NS,SODIUM CHLORIDE
DIPTRAS 300,IOPAMIDOL
DIPTRAS 370,IOPAMIDOL
CYMEVENE,GANCICLOVIR
PRADAXA,DABIGATRAN ETEXILATE MESILATE
PRAXBIND,IDARUCIZUMAB
SIFROL,PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE
JARDIANCE,EMPAGLIFLOZIN
MICARDIS,TELMISARTAN
GLYXAMBI,EMPAGLIFLOZIN
GLYXAMBI,LINAGLIPTIN
ACTILYSE,ALTEPLASE
GIOTRIF,AFATINIB DIMALEATE
OFEV,NINTEDANIB ESILATE
SIFROL ER,PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE
METALYSE,TENECTEPLASE
BERODUAL,FENOTEROL HYDROBROMIDE
BERODUAL,IPRATROPIUM BROMIDE
COMBIVENT UDV,SALBUTAMOL SULFATE
COMBIVENT UDV,IPRATROPIUM BROMIDE
SPIOLTO RESPIMAT,OLODATEROL HYDROCHLORIDE
SPIOLTO RESPIMAT,TIOTROPIUM BROMIDE
SPIRIVA RESPIMAT,TIOTROPIUM BROMIDE
HUMULIN 30/70 KWIKPEN,HUMAN INSULIN
BASAGLAR,INSULIN GLARGINE
HUMALOG KWIKPEN,INSULIN LISPRO
HUMALOG MIX25 KWIKPEN,INSULIN LISPRO
HUMALOG MIX50 KWIKPEN,INSULIN LISPRO
ZYPREXA IM,OLANZAPINE
VALCYTE,VALGANCICLOVIR HYDROCHLORIDE
XELODA,CAPECITABINE
PEXED,PEMETREXED DISODIUM HEMIPENTAHYDRATE
ETAPLAT,OXALIPLATIN
DCT,DOCETAXEL TRIHYDRATE
GEMCITABINE HCL,GEMCITABINE HYDROCHLORIDE
PEMETREXED DISODIUM HEMIPENTAHYDRATE,PEMETREXED DISODIUM HEMIPENTAHYDRATE
CONTREXYN FLU & BATUK TIDAK BERDAHAK,PARACETAMOL
CONTREXYN FLU & BATUK TIDAK BERDAHAK,CHLORPHENAMINE MALEATE
CONTREXYN FLU & BATUK TIDAK BERDAHAK,PHENYLEPHRINE HYDROCHLORIDE
CONTREXYN FLU & BATUK TIDAK BERDAHAK,DIPHENHYDRAMINE HYDROCHLORIDE
CONTREXYN FLU & BATUK BERDAHAK,PARACETAMOL
CONTREXYN FLU & BATUK BERDAHAK,BROMHEXINE HYDROCHLORIDE
CONTREXYN FLU & BATUK BERDAHAK,GUAIFENESIN
CONTREXYN FLU & BATUK BERDAHAK,CHLORPHENAMINE MALEATE
CONTREXYN FLU & BATUK BERDAHAK,PHENYLEPHRINE HYDROCHLORIDE
CONTREXYN DEMAM,PARACETAMOL
OSKADON,PARACETAMOL
OSKADON,CAFFEINE
OSKADON EXTRA,PARACETAMOL
OSKADON EXTRA,CAFFEINE
OSKADON SP NEURO,IBUPROFEN
OSKADON SP NEURO,THIAMINE MONONITRATE
OSKADON SP NEURO,PYRIDOXINE HYDROCHLORIDE
OSKADON SP NEURO,CYANOCOBALAMIN
FLAMSY-50,DICLOFENAC POTASSIUM
ZINCGARD,ZINC SULFATE MONOHYDRATE
VITAMIN A PALMITATE,RETINOL PALMITATE
DEXTROSE ANHYDRATE,DEXTROSE ANHYDRATE
MEDROXON,MEDROXYPROGESTERONE ACETATE
ESOPRAZ,KOMBINASI-ESOMEPRAZOLE SODIUM STERILE LYOPHILIZED
GRANITROX,GRANISETRON HYDROCHLORIDE
HYOSCINOX,HYOSCINE BUTYLBROMIDE
SUCROZ,IRON SUCROSE
DEXFEN,DEXKETOPROFEN TROMETAMOL
KIDOSTEIN,ERDOSTEINE
VERTIHIS,BETAHISTINE MESILATE
NEO FLUKID,PSEUDOEPHEDRINE HYDROCHLORIDE
OFERTIL,CLOMIFENE CITRATE
DILATAMOL,SALBUTAMOL SULFATE
KETANAEST,KETAMINE HYDROCHLORIDE
FOR-D3 5000,KOMBINASI-CHOLECALCIFEROL (VITAMIN D3) WATER SOLUBLE 100 IU/MG
BENOFAT,SUCRALFATE
LEVOVACAIN,LEVOBUPIVACAINE HYDROCHLORIDE MONOHYDRATE
AMPICILLIN SODIUM/SULBACTAM SODIUM,AMPICILLIN SODIUM
AMPICILLIN SODIUM/SULBACTAM SODIUM,SULBACTAM SODIUM
AMPICILLIN SODIUM/SULBACTAM SODIUM,AMPICILLIN 1000MG
AMPICILLIN SODIUM/SULBACTAM SODIUM,SULBACTAM 500MG
EPINEPHRINE BITARTRATE,EPINEPHRINE BITARTRATE
VIATRIN,METHYLERGOMETRINE MALEATE
FOR-C,ASCORBIC ACID
REMAKIL,PARACETAMOL
REMAKIL,IBUPROFEN
CEFAZOLIN SODIUM,KOMBINASI-CEFAZOLIN SODIUM STERILE (LYOPHILIZED)
DOPAMINE HCL,DOPAMINE HYDROCHLORIDE
PSEUDOEPHEDRINE HCL,PSEUDOEPHEDRINE HYDROCHLORIDE
FLUNARIZINE HCL,FLUNARIZINE DIHYDROCHLORIDE
PROHYS,CYPROHEPTADINE HYDROCHLORIDE SESQUIHYDRATE
CHOLECALCIFEROL,KOMBINASI-CHOLECALCIFEROL (VITAMIN D3) WATER SOLUBLE 100 IU/MG
LIDOCAINE COMPOSITUM,EPINEPHRINE BITARTRATE
NOREPRESS,NOREPINEPHRINE BITARTRATE MONOHYDRATE
AMPICILLIN SODIUM/SULBACTAM SODIUM,AMPICILLIN 500MG
AMPICILLIN SODIUM/SULBACTAM SODIUM,SULBACTAM 250MG
TEMPRA (RASA ORANGE),PARACETAMOL
TEMPRA (RASA STRAWBERRY),PARACETAMOL
TEMPRA FORTE (RASA ANGGUR),PARACETAMOL
TEMPRA FORTE (RASA STRAWBERRY),PARACETAMOL
NEO RHEUMACYL 350,PARACETAMOL
NEO RHEUMACYL 350,IBUPROFEN
BODREX BATUK & PILEK,GUAIFENESIN
BODREX BATUK & PILEK,DEXTROMETHORPHAN HYDROBROMIDE
BODREX BATUK & PILEK,BROMHEXINE HYDROCHLORIDE
BODREX BATUK & PILEK,PHENYLEPHRINE HYDROCHLORIDE
BODREXIN FLU & BATUK TIDAK BERDAHAK PE,PHENYLEPHRINE HYDROCHLORIDE
BODREXIN FLU & BATUK TIDAK BERDAHAK PE,CHLORPHENAMINE MALEATE
BODREXIN FLU & BATUK TIDAK BERDAHAK PE,PARACETAMOL
BODREXIN FLU & BATUK TIDAK BERDAHAK PE,DEXTROMETHORPHAN HYDROBROMIDE
BODREX DEMAM,PARACETAMOL
BODREXIN DEMAM,PARACETAMOL
SCANISTIN,ZINC OXIDE
SCANISTIN,NYSTATIN
SALDEXTAMIN,DEXCHLORPHENIRAMINE MALEATE
OBH SURYA (RASA JAHE),AMMONIUM CHLORIDE
OBH SURYA (RASA JAHE),SUCCUS LIQUIRITIAE
PECTORIN,AMMONIUM CHLORIDE
PECTORIN,CHLORPHENAMINE MALEATE
PECTORIN,PHENYLEPHRINE HYDROCHLORIDE
PECTORIN,GUAIFENESIN
PECTORIN,SUCCUS LIQUIRITIAE
MUCOBAT,AMBROXOL HYDROCHLORIDE
MAROSTAN,MEFENAMIC ACID
KOKOTRA,TETRACYCLINE HYDROCHLORIDE
KOKODEX,DEXAMETHASONE
VORSONE,PREDNISONE
INUFEN,IBUPROFEN
ONDAVAR,ONDANSETRON HYDROCHLORIDE DIHYDRATE
NEOZEP FORTE,PSEUDOEPHEDRINE HYDROCHLORIDE
NEOZEP FORTE,DIPHENHYDRAMINE HYDROCHLORIDE
NEOZEP FORTE,PARACETAMOL
NEW ENZYPLEX FR,SIMETHICONE
NEW ENZYPLEX FR,KOMBINASI-PANCREATIN
RESPINAC,ACETYLCYSTEINE
CLABAT,POTASSIUM CLAVULANATE
CLABAT,AMOXICILLIN SODIUM
SUCRALBAT,KOMBINASI-SUCRALFATE SUSPENSION
RESPITUSS,LEVODROPROPIZINE
CO-AMOXICLAV,AMOXICILLIN SODIUM
CO-AMOXICLAV,POTASSIUM CLAVULANATE
DAZOLIN N,METRONIDAZOLE
DAZOLIN N,NYSTATIN
ACITRAL,ALUMINIUM HYDROXIDE GEL
FUSIBAT,FUSIDIC ACID
INTIDROL 8,METHYLPREDNISOLONE
ESOPRO,KOMBINASI-ESOMEPRAZOLE SODIUM STERILE LYOPHILIZED
NEOSTIGMINE METILSULFATE,NEOSTIGMINE METILSULFATE
ASCORVELL,ASCORBIC ACID
DOCUSATE SODIUM,DOCUSATE SODIUM
TAMIVELL,KETAMINE HYDROCHLORIDE
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE
ZIPREN 10 ODT,ARIPIPRAZOLE
LIPINFUS 20%,SOYBEAN OIL
CHRONOPROST,BERAPROST SODIUM
CULTUBE 3 FDC PAED,RIFAMPICIN
CULTUBE 3 FDC PAED,ISONIAZID
CULTUBE 3 FDC PAED,PYRAZINAMIDE
PERTAM,MEMANTINE HYDROCHLORIDE
NOZEPAV 10,DIAZEPAM
NOZEPAV 5,DIAZEPAM
BERAPROST SODIUM,BERAPROST SODIUM
FOSFOMYCIN DISODIUM,FOSFOMYCIN SODIUM
CARNIT,KOMBINASI-NITROGLYCERINE 5 IN PROPYLENE GLYCOL (W/W)
NESFOL,DIBASIC SODIUM PHOSPHATE HEPTAHYDRATE
NESFOL,SODIUM PHOSPHATE MONOBASIC MONOHYDRATE
TYZOX,NEOSTIGMINE METILSULFATE
ZELAVEL,OFLOXACIN
VELUTINE,SALBUTAMOL SULFATE
LILKA,LIDOCAINE
LILKA,PRILOCAINE
VENAX,FONDAPARINUX SODIUM
GLYCERYL TRINITRATE,KOMBINASI-GLYCERYL TRINITRATE 5 IN PROPYLENE GLYCOL (W/W)
FOSBIN,SEVELAMER CARBONATE
IPROX FORTE,IBUPROFEN
ORLISTAT,ORLISTAT PELLET
ISOXSUPRINE HYDROCHLORIDE,ISOXSUPRINE HYDROCHLORIDE
RINVELL,EPHEDRINE HYDROCHLORIDE
ORLIVELL,ORLISTAT PELLET
FERMOM,FOLIC ACID
FERMOM,FERRIC HYDROXIDE POLYMALTOSE COMPLEX
DIARVIT,ACARBOSE
ERYL LOW CALCIUM WITH 1.5 % DEXTROSE,DEXTROSE MONOHYDRATE
ERYL LOW CALCIUM WITH 1.5 % DEXTROSE,SODIUM CHLORIDE
ERYL LOW CALCIUM WITH 1.5 % DEXTROSE,CALCIUM CHLORIDE DIHYDRATE
ERYL LOW CALCIUM WITH 1.5 % DEXTROSE,MAGNESIUM CHLORIDE HEXAHYDRATE
ERYL LOW CALCIUM WITH 1.5 % DEXTROSE,KOMBINASI-SODIUM LACTATE SOLUTION 50
ERYL LOW CALCIUM WITH 2.5 % DEXTROSE,SODIUM CHLORIDE
ERYL LOW CALCIUM WITH 2.5 % DEXTROSE,CALCIUM CHLORIDE DIHYDRATE
ERYL LOW CALCIUM WITH 2.5 % DEXTROSE,MAGNESIUM CHLORIDE HEXAHYDRATE
ERYL LOW CALCIUM WITH 2.5 % DEXTROSE,DEXTROSE MONOHYDRATE
ERYL LOW CALCIUM WITH 2.5 % DEXTROSE,KOMBINASI-SODIUM LACTATE SOLUTION 50
NETILMICIN SULFATE,NETILMICIN SULFATE
TYZOX,NEOSTIGMINE METHYLSULFATE
OTOVELL,DOCUSATE SODIUM
NOVENTAL,THIOPENTAL SODIUM WITH SODIUM CARBONATE
FRIVENTIL,SALMETEROL XINAFOATE
FRIVENTIL,FLUTICASONE PROPIONATE
RYCOX NEO,PSEUDOEPHEDRINE HYDROCHLORIDE
OCTREOVELL,OCTREOTIDE ACETATE
MEDICLEAR,CLINDAMYCIN PHOSPHATE
MEDICLEAR,TRETINOIN
MOXAM,MELOXICAM
DARVON,BETAHISTINE MESILATE
DIZINE,FLUNARIZINE DIHYDROCHLORIDE
PLEXION,EPERISONE HYDROCHLORIDE
TENTALUX,DEXPANTHENOL
METHYLPREDNISOLONE.,METHYLPREDNISOLONE
LF-C,ASCORBIC ACID
GLICRON,ROCURONIUM BROMIDE
BUPIVACAINE HCL MONOHYDRATE SPINAL HEAVY,DEXTROSE MONOHYDRATE
SEDARES,DIPHENHYDRAMINE HYDROCHLORIDE
MAXICEF,CEFEPIME HYDROCHLORIDE BUFFERED WITH ARGININE
CLINIDAC,CLINDAMYCIN PHOSPHATE
DOCERAN,DOCETAXEL TRIHYDRATE
ANTIPRESTIN 10,FLUOXETINE HYDROCHLORIDE
VERONIL,VALPROIC ACID
CEFALEX,CEFADROXIL MONOHYDRATE
LEXTATIN,SIMVASTATIN
PRAFENTA,IBUPROFEN
PRAFENTA,PARACETAMOL
MOLEXFLU PE,PARACETAMOL
MOLEXFLU PE,PHENYLEPHRINE HYDROCHLORIDE
MOLEXFLU PE,CHLORPHENAMINE MALEATE
ALPARA PE,CHLORPHENAMINE MALEATE
ALPARA PE,DEXTROMETHORPHAN HYDROBROMIDE
ALPARA PE,PHENYLEPHRINE HYDROCHLORIDE
ALPARA PE,PARACETAMOL
LEXACROL FORTE,DRIED ALUMINIUM HYDROXIDE GEL
LEXACROL FORTE,MAGNESIUM HYDROXIDE
LEXACROL FORTE,SIMETHICONE
LEXATRON,ONDANSETRON HYDROCHLORIDE DIHYDRATE
MOLAZOL,METRONIDAZOLE
LEXAPENEM,MEROPENEM TRIHYDRATE BUFFERED WITH SODIUM CARBONATE
LEXTRIAXONE,CEFTRIAXONE SODIUM
CARANAL FORTE,METAMIZOLE SODIUM
CARANAL FORTE,THIAMINE HYDROCHLORIDE
CARANAL FORTE,PYRIDOXINE HYDROCHLORIDE
CARANAL FORTE,CYANOCOBALAMIN
MIRASIC PLUS,CAFFEINE
MIRASIC PLUS,PARACETAMOL
VALBESON-N,NEOMYCIN SULFATE
VALBESON-N,BETAMETHASONE VALERATE
MEXON BETA,BETAMETHASONE
MEXON BETA,DEXCHLORPHENIRAMINE MALEATE
COPARCETIN,PSEUDOEPHEDRINE HYDROCHLORIDE
COPARCETIN,PARACETAMOL
COPARCETIN,GUAIFENESIN
COPARCETIN,CHLORPHENAMINE MALEATE
COPARCETIN (RASA ORANGE),PARACETAMOL
COPARCETIN (RASA ORANGE),GUAIFENESIN
COPARCETIN (RASA ORANGE),CHLORPHENAMINE MALEATE
